,id,Name,Bred_for,Origin,Image_Url
0,1,Affenpinscher,"Small rodent hunting, lapdog","Germany, France",https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg
1,2,Afghan Hound,Coursing and hunting,"Afghanistan, Iran, Pakistan",https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg
2,3,African Hunting Dog,A wild pack animal,,https://cdn2.thedogapi.com/images/rkiByec47.jpg
3,4,Airedale Terrier,"Badger, otter hunting","United Kingdom, England",https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg
4,5,Akbash Dog,Sheep guarding,,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg
5,6,Akita,Hunting bears,-NONE-,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg
6,7,Alapaha Blue Blood Bulldog,Guarding,-NONE-,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg
7,8,Alaskan Husky,Sled pulling,-NONE-,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg
8,9,Alaskan Malamute,"Hauling heavy freight, Sled pulling",-NONE-,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg
9,10,American Bulldog,-NONE-,-NONE-,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg
10,11,American Bully,Family companion dog,-NONE-,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg
11,12,American Eskimo Dog,Circus performer,-NONE-,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg
12,13,American Eskimo Dog (Miniature),Companionship,-NONE-,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg
13,14,American Foxhound,"Fox hunting, scent hound",-NONE-,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg
14,15,American Pit Bull Terrier,Fighting,-NONE-,https://cdn2.thedogapi.com/images/HkC31gcNm.png
15,16,American Staffordshire Terrier,,-NONE-,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg
16,17,American Water Spaniel,Bird flushing and retrieving,-NONE-,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg
17,18,Anatolian Shepherd Dog,Livestock herding,-NONE-,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg
18,19,Appenzeller Sennenhund,"Herding livestock, pulling carts, and guarding the farm",-NONE-,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg
19,21,Australian Cattle Dog,"Cattle herding, herding trials",-NONE-,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg
20,22,Australian Kelpie,"Farm dog, Cattle herding",-NONE-,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg
21,23,Australian Shepherd,Sheep herding,-NONE-,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg
22,24,Australian Terrier,"Cattle herdering, hunting snakes and rodents",-NONE-,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg
23,25,Azawakh,"Livestock guardian, hunting",-NONE-,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg
24,26,Barbet,Hunting water game,-NONE-,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg
25,28,Basenji,Hunting,-NONE-,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg
26,29,Basset Bleu de Gascogne,Hunting on foot.,-NONE-,https://cdn2.thedogapi.com/images/BkMQll94X.jpg
27,30,Basset Hound,Hunting by scent,-NONE-,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg
28,31,Beagle,"Rabbit, hare hunting",-NONE-,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg
29,32,Bearded Collie,Sheep herding,-NONE-,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg
30,33,Beauceron,"Boar herding, hunting, guarding",-NONE-,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg
